,name,price,age,location,image,link,store,category
0,Vaskemaskin Blomberg (Ny) BWX274W2 - Solid og meget enkel i bruk,3900.0,,,https://images.finncdn.no/dynamic/default/2022/5/vertical-0/06/5/257/318/975_298223197.jpg,/bap/forsale/ad.html?finnkode=257318975,finn,0.22054_2
1,Miele Novotronic W1614 vaskemaskin selges,2990.0,ti timer siden,Røyse,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/08/4/261/458/384_51794446.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261458384,finn,0.22054_2
2,Vaskemaskin,1500.0,elleve timer siden,Degernes,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/08/2/261/453/832_1867521564.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261453832,finn,0.22054_2
3,Miele vaskemaskin,,elleve timer siden,Maura,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/08/6/261/453/466_160382247.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261453466,finn,0.22054_2
4,Samsung Vask/Tørk 9/5kg WD90N643OAW | www.norskombruk.no | 24 mnd garanti!,6490.0,25. mai 2022,Sandvika,https://images.finncdn.no/dynamic/480x360c/2022/2/vertical-5/28/5/249/843/575_924651510.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=249843575,finn,0.22054_2
5,vaskemaskin,4000.0,elleve timer siden,Eidsvoll,https://images.finncdn.no/dynamic/480x360c/2022/6/vertical-0/08/3/261/448/303_910885760.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261448303,finn,0.22054_2
6,Hotpoint Ariston selges i deler,500.0,13 timer siden,Torp,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/08/3/261/437/643_729960074.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261437643,finn,0.22054_2
7,vaskemaskin,1500.0,16 timer siden,Sarpsborg,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/08/7/261/418/557_1673630529.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261418557,finn,0.22054_2
8,Siemens vaskemaskin WM14SE9DN | www.norskombruk.no | 24 mnd garanti på alt!,5990.0,25. mai 2022,Sandvika,https://images.finncdn.no/dynamic/480x360c/2022/3/vertical-5/29/2/253/016/422_2052801664.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=253016422,finn,0.22054_2
9,vaskemaskin,500.0,en dag siden,Auli,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/07/0/261/404/580_2057919365.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261404580,finn,0.22054_2
10,RESERVERT! 8 kg AEG vaskemaskin kun 4 år gml. Garanti medfølger!,2250.0,en dag siden,Bekkestua,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/07/6/261/402/846_1355607132.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261402846,finn,0.22054_2
11,Vaskemaskin selges,1000.0,en dag siden,Lier,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/07/4/261/371/384_17921323.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261371384,finn,0.22054_2
12,Fint Vaskemaskin til billig pris.,1500.0,15 timer siden,Ski,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-5/08/1/261/425/971_1902258246.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261425971,finn,0.22054_2
13,"Bauknecht Vaskemaskin 1,5år gammel, A+++",2500.0,en dag siden,Hønefoss,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/07/1/261/368/471_1759644680.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261368471,finn,0.22054_2
14,"MIELE WDB037NDS VASKEMASKIN

WDB037NDS / 510896",6000.0,en dag siden,Lørenskog,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/01/2/260/537/662_1888998617.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=260537662,finn,0.22054_2
15,Samsung vaskemaskin 9Kg,2500.0,en dag siden,Borgenhaugen,https://images.finncdn.no/dynamic/480x480c/2022/6/vertical-0/07/9/261/364/349_1345203728.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261364349,finn,0.22054_2
16,LG vaskemaskiner - 50% avslag - 24mnd garanti,3000.0,23. mai 2022,Vikersund,https://images.finncdn.no/dynamic/480x480c/2022/3/vertical-5/15/5/251/403/655_1143414177.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=251403655,finn,0.22054_2
17,Toppmatet Electrolux vaskemaskin - 6kg 1200rpm,1000.0,en dag siden,Moss,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/07/6/261/356/966_1320589569.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261356966,finn,0.22054_2
18,vaskemaskin,1500.0,en dag siden,Gressvik,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/07/3/261/340/073_1692208292.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261340073,finn,0.22054_2
19,Innløpsslange til vaskemaskin.,50.0,en dag siden,Fredrikstad,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/07/7/261/339/657_1272957818.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261339657,finn,0.22054_2
20,Samsung vask&tørk WD95T534CBE | 24 mnd garanti | www.norskombruk.no,5990.0,23. mai 2022,Sandvika,https://images.finncdn.no/dynamic/480x360c/2022/3/vertical-5/02/6/250/072/586_1415089466.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=250072586,finn,0.22054_2
21,Vaskemaskin gis bort.  Virker som den skal.,,en dag siden,Hafslundsøy,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/07/5/261/335/675_648755084.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261335675,finn,0.22054_2
22,Candy vaskemaskin,500.0,en dag siden,Halden,https://images.finncdn.no/dynamic/480x640c/2018/7/vertical-5/27/2/125/212/812_640810164.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=125212812,finn,0.22054_2
23,[RESERVED] Blomberg Washing machine / Washer-dryer,1000.0,en dag siden,Nesoddtangen,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/07/3/261/316/943_700917341.png,https://www.finn.no/bap/forsale/ad.html?finnkode=261316943,finn,0.22054_2
24,PerfectCare 800 vaskemaskin EW8F8669Q8.,5498.0,23. mai 2022,Hagan,https://images.finncdn.no/dynamic/480x480c/2022/5/vertical-5/23/1/259/498/251_440972752.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=259498251,finn,0.22054_2
25,AGE VASKEMASKIN,1000.0,to dager siden,Fjellhamar,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/06/8/261/295/648_539874346.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261295648,finn,0.22054_2
26,Vaskemaskin Grundig,4000.0,to dager siden,Moss,https://images.finncdn.no/dynamic/480x640c/2022/5/vertical-0/22/1/259/339/211_1647432532.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=259339211,finn,0.22054_2
27,Miele WDA111 Classic Eco,2999.0,to dager siden,Hagan,https://images.finncdn.no/dynamic/480x640c/2022/6/vertical-0/06/2/261/287/132_1136187611.jpg,https://www.finn.no/bap/forsale/ad.html?finnkode=261287132,finn,0.22054_2
